series,algorithm,order,nsets,f_nsets,bound_type,partitioner,mod,del_strategy,window_size,pearson,spearman,RMSE,MAPE,U,time,translation_threshold
2,FIFTS,3,7,7,mu-sigma,knn,translate,nothing,3.997,0.9994393129850666,0.9994601685222944,0.10149332601759238,0.0029729696319509787,0.5561067247128773,1.515625,0.25
2,FIFTS,3,7,7,mu-sigma,knn,translate,nothing,3.997,0.9994393129850666,0.9994601685222944,0.10149332601759238,0.0029729696319509787,0.5561067247128773,1.625,0.75
2,FIFTS,3,7,7,mu-sigma,knn,nothing,delelete_bad,3.997,0.9994434271606859,0.9994613237545662,0.10115162019018804,0.0029647373795187253,0.5548360857633097,0.171875,0.5
2,FIFTS,3,7,7,mu-sigma,knn,nothing,delelete_bad,3.997,0.9994434271606859,0.9994613237545662,0.10115162019018804,0.0029647373795187253,0.5548360857633097,0.171875,0.25
2,FIFTS,3,7,7,mu-sigma,knn,nothing,delelete_bad,3.997,0.9994434271606859,0.9994613237545662,0.10115162019018804,0.0029647373795187253,0.5548360857633097,0.15625,0.75
2,FIFTS,3,7,7,mu-sigma,knn,nothing,nothing,3.997,0.9994434271606859,0.9994613237545662,0.10115162019018804,0.0029647373795187253,0.5548360857633097,0.171875,0.5
2,FIFTS,3,7,7,mu-sigma,knn,nothing,nothing,3.997,0.9994434271606859,0.9994613237545662,0.10115162019018804,0.0029647373795187253,0.5548360857633097,0.171875,0.25
2,FIFTS,3,7,7,mu-sigma,knn,nothing,nothing,3.997,0.9994434271606859,0.9994613237545662,0.10115162019018804,0.0029647373795187253,0.5548360857633097,0.171875,0.75
2,FIFTS,3,7,7,mu-sigma,uniform,translate,delelete_bad,3.997,0.9963934253263262,0.9944914469246636,0.35464132628603123,0.00881482389854026,1.8037601105788013,0.8125,0.5
2,FIFTS,3,7,7,mu-sigma,uniform,translate,delelete_bad,3.997,0.9963934253263262,0.9944914469246636,0.35464132628603123,0.00881482389854026,1.8037601105788013,0.859375,0.25
2,FIFTS,3,7,7,mu-sigma,uniform,translate,delelete_bad,3.997,0.9963405478191035,0.994442121961882,0.35015982038860527,0.008454246566913851,1.733837835124561,0.859375,0.75
2,FIFTS,3,7,7,mu-sigma,uniform,translate,nothing,3.997,0.9963934253263262,0.9944914469246636,0.35464132628603123,0.00881482389854026,1.8037601105788013,0.828125,0.5
2,FIFTS,3,7,7,mu-sigma,uniform,translate,nothing,3.997,0.9963934253263262,0.9944914469246636,0.35464132628603123,0.00881482389854026,1.8037601105788013,0.8125,0.25
2,FIFTS,3,7,7,mu-sigma,uniform,translate,nothing,3.997,0.9963405478191035,0.994442121961882,0.35015982038860527,0.008454246566913851,1.733837835124561,0.8125,0.75
2,FIFTS,3,7,7,mu-sigma,uniform,nothing,delelete_bad,3.997,0.996185989505062,0.9944146788108771,0.3513426672614698,0.008617792502601467,1.7605006546206479,0.5625,0.5
2,FIFTS,3,7,7,mu-sigma,uniform,nothing,delelete_bad,3.997,0.996185989505062,0.9944146788108771,0.3513426672614698,0.008617792502601467,1.7605006546206479,0.640625,0.25
2,FIFTS,3,7,7,mu-sigma,uniform,nothing,delelete_bad,3.997,0.996185989505062,0.9944146788108771,0.3513426672614698,0.008617792502601467,1.7605006546206479,0.609375,0.75
2,FIFTS,3,7,7,mu-sigma,uniform,nothing,nothing,3.997,0.996185989505062,0.9944146788108771,0.3513426672614698,0.008617792502601467,1.7605006546206479,0.546875,0.5
2,FIFTS,3,7,7,mu-sigma,uniform,nothing,nothing,3.997,0.996185989505062,0.9944146788108771,0.3513426672614698,0.008617792502601467,1.7605006546206479,0.625,0.25
2,FIFTS,3,7,7,mu-sigma,uniform,nothing,nothing,3.997,0.996185989505062,0.9944146788108771,0.3513426672614698,0.008617792502601467,1.7605006546206479,0.609375,0.75
2,FIFTS,3,7,7,min-max,knn,translate,delelete_bad,3.997,0.8871055623374583,0.7885302922356479,2.3971526615260257,0.06562191227682783,12.28894146246766,0.9375,0.5
