series,algorithm,order,nsets,bound_type,partitioner,window_size,pearson,spearman,RMSE,MAPE,U,time
2,TVFTS,3,7,mu-sigma,knn,75,0.998907272772735,0.9985895289987337,0.1414260511219539,0.004209286168447953,1.5765619813350726,13.640625
2,TVFTS,3,7,mu-sigma,knn,50,0.9992312809287359,0.9988699590035258,0.11874861400947025,0.0036524108068887355,1.3591413395992753,9.5625
2,TVFTS,3,7,mu-sigma,knn,25,0.9995415516879034,0.9993855336076448,0.09142310010059815,0.0028698041759050792,1.0685524305590761,5.078125
2,TVFTS,3,7,mu-sigma,knn,10,0.9996398877136312,0.9995121013960434,0.08107758942770123,0.0025771453915167087,0.9610496633395901,2.53125
2,TVFTS,3,7,mu-sigma,knn,5,0.9996167496824762,0.999483493999252,0.0836527489886162,0.0026786255358628034,0.9987603148390543,1.71875
2,TVFTS,3,7,mu-sigma,uniform,300,0.9987679661696444,0.9983609477411378,0.15630626037025672,0.004370998360662439,1.6682505743731835,34.125
2,TVFTS,3,7,mu-sigma,uniform,250,0.9988463725187063,0.9985513762887451,0.14753740481781752,0.0041513220092470795,1.5757433685935116,29.6875
2,TVFTS,3,7,mu-sigma,uniform,150,0.9984018162031548,0.9975902575912582,0.17055569151639344,0.004892742287720758,1.8357468382397573,18.84375
2,TVFTS,3,7,mu-sigma,uniform,100,0.9986156794465221,0.9982060384546629,0.15887667697772356,0.0044752559977843205,1.6809682299912005,12.703125
2,TVFTS,3,7,mu-sigma,uniform,75,0.9986620142379607,0.9982322963283445,0.15674011967116938,0.004469002151105344,1.6724442690711436,10.265625
2,TVFTS,3,7,mu-sigma,uniform,50,0.9991398194436575,0.9987324427979757,0.1255913839510037,0.0038092735928860317,1.4152235046004182,7.296875
2,TVFTS,3,7,mu-sigma,uniform,25,0.9995416246738708,0.9993827604492939,0.0914359381601605,0.0028849684977821323,1.0732504671002994,3.875
2,TVFTS,3,7,mu-sigma,uniform,10,0.9996528393468775,0.9995313767995109,0.07958526096797768,0.00251053162283737,0.9361201587036865,1.84375
2,TVFTS,3,7,mu-sigma,uniform,5,0.999620396132246,0.9994880458247142,0.08325385643578087,0.0026669940284364925,0.9944202899871473,1.296875
2,TVFTS,3,7,min-max,knn,300,0.9991066541429321,0.9989242053459164,0.12885086245869878,0.003620172093784854,1.368680924402596,45.109375
2,TVFTS,3,7,min-max,knn,250,0.999199191460222,0.9989813119773099,0.12222940429111405,0.003591654639584053,1.3556882337957998,38.34375
2,TVFTS,3,7,min-max,knn,150,0.9990029668607476,0.9987886886386137,0.13479239946564703,0.00407925118119771,1.5190872831386109,24.796875
2,TVFTS,3,7,min-max,knn,100,0.9990671601699244,0.9988304257233723,0.13031629652304358,0.003889411158643129,1.4502222194533703,17.453125
2,TVFTS,3,7,min-max,knn,75,0.9992222819340499,0.9988852834825821,0.11919289014328084,0.003587549321076158,1.3372642016036373,13.171875
2,TVFTS,3,7,min-max,knn,50,0.999481086608508,0.9991998086130152,0.09755874477869993,0.003041318919422469,1.1339312354147857,9.15625
2,TVFTS,3,7,min-max,knn,25,0.9996213743880464,0.9994828149810641,0.08307367443790015,0.002622770578334287,0.9769425535046055,4.8125
2,TVFTS,3,7,min-max,knn,10,0.9996311147573586,0.9995029752113296,0.08205374448078914,0.002610838527976722,0.9734706319949752,2.1875
2,TVFTS,3,7,min-max,knn,5,0.9996158832829571,0.9994822336092973,0.08374792139896912,0.0026818743694808724,0.9999436950984902,1.453125
2,TVFTS,3,7,min-max,uniform,300,0.9989708414341955,0.9986874187844675,0.1420541133297933,0.004117770808933053,1.5634559987749428,32.921875
2,TVFTS,3,7,min-max,uniform,250,0.9991965899256692,0.9990510841006089,0.12601915792251153,0.003786083274365932,1.4317817096778216,28.90625
2,TVFTS,3,7,min-max,uniform,150,0.9988539321120731,0.998568680736765,0.14590458181391186,0.004406444984134638,1.6438724591111677,18.0625
2,TVFTS,3,7,min-max,uniform,100,0.9989112872955286,0.9986046957412641,0.14106025307065256,0.004223499908066023,1.5728765101520197,12.578125
2,TVFTS,3,7,min-max,uniform,75,0.9990782098623309,0.9987688318633794,0.13014318163612193,0.003915316934646103,1.4562642435692439,9.984375
2,TVFTS,3,7,min-max,uniform,50,0.9994197451951577,0.999171668416791,0.10374705748467027,0.0032810201208595168,1.2205540906107901,7.140625
2,TVFTS,3,7,min-max,uniform,25,0.9996090764949066,0.9994767789300056,0.08485552373428963,0.0027055857320447234,1.0073927281707604,3.75
2,TVFTS,3,7,min-max,uniform,10,0.9996287864130914,0.9995027618914564,0.082438273667478,0.0026325686855671274,0.9808560752413992,1.921875
2,TVFTS,3,7,min-max,uniform,5,0.9996159274090578,0.9994824619516965,0.0837440267252814,0.0026815352597171186,0.9998342965832289,1.28125
2,TVFTS,3,9,mu-sigma,knn,300,0.9991714117690337,0.9988910866844833,0.12629489309618275,0.0037279910586289697,1.4105606235768127,49.90625
2,TVFTS,3,9,mu-sigma,knn,250,0.999234432207689,0.9989590681226501,0.12064715949467644,0.0036343560288366354,1.3745292311691273,42.828125
2,TVFTS,3,9,mu-sigma,knn,150,0.9991024548714426,0.9988408693836408,0.12785124640235132,0.003948827703468379,1.4739653103984254,27.9375
2,TVFTS,3,9,mu-sigma,knn,100,0.9990430098849663,0.9987863030614407,0.13201473777785344,0.003955251387426279,1.4818808085171864,19.71875
2,TVFTS,3,9,mu-sigma,knn,75,0.9991410608961053,0.9988017837747702,0.1252677046068766,0.003823024723560337,1.425286935997829,15.578125
2,TVFTS,3,9,mu-sigma,knn,50,0.9993256688201888,0.9990432528576602,0.1111223417878444,0.0034362089165239245,1.280515834668534,10.78125
2,TVFTS,3,9,mu-sigma,knn,25,0.9995855306434291,0.9994444068881289,0.0869284381743114,0.002744299963517205,1.0220372932702069,6.171875
2,TVFTS,3,9,mu-sigma,knn,10,0.9996199384324397,0.999488914126733,0.08330234970797284,0.0026645189250606564,0.9934545325073636,3.3125
2,TVFTS,3,9,mu-sigma,knn,5,0.999615907357679,0.9994822876903917,0.08374489843435148,0.0026816793557985874,0.999875687042292,2.171875
2,TVFTS,3,9,mu-sigma,uniform,300,0.9992724393864291,0.9989476434914155,0.1162095235096454,0.0033628703304693173,1.267664875929585,35.25
2,TVFTS,3,9,mu-sigma,uniform,250,0.9992324012378275,0.9989970450690812,0.11920668483775065,0.0035310129815236844,1.32747380382021,31.6875
2,TVFTS,3,9,mu-sigma,uniform,150,0.9990542953267885,0.9986742440289214,0.13134390092551484,0.00396384837191309,1.4788260141428682,20.46875
2,TVFTS,3,9,mu-sigma,uniform,100,0.9989086421138762,0.9985023983463205,0.14094578655566148,0.004125037624907215,1.5475199629217355,14.546875
2,TVFTS,3,9,mu-sigma,uniform,75,0.9990379350223256,0.9986019466189551,0.13276823671629567,0.003990593645134991,1.4876970742654643,11.359375
2,TVFTS,3,9,mu-sigma,uniform,50,0.9992422941065155,0.9989768442779948,0.11775393033046275,0.0035583421002989375,1.3288362733748706,7.859375
2,TVFTS,3,9,mu-sigma,uniform,25,0.9995630203524769,0.9994105551274137,0.08924411546094402,0.0027872182728561684,1.0381174319946853,4.578125
2,TVFTS,3,9,mu-sigma,uniform,10,0.99962274244693,0.9994937694072262,0.08299673291279346,0.0026504814014729422,0.9882055809186158,2.75
2,TVFTS,3,9,mu-sigma,uniform,5,0.9996159504821578,0.9994825611003699,0.08374029382643294,0.002681465661706261,0.9997885111895246,1.9375
2,TVFTS,3,9,min-max,knn,300,0.999295660508205,0.9992143579297157,0.11551654806451539,0.0034800819703556087,1.3083198852956084,49.3125
2,TVFTS,3,9,min-max,knn,250,0.9993295424249903,0.9992134370488548,0.11136690350375496,0.003440033798788266,1.2908213824328965,42.921875
2,TVFTS,3,9,min-max,knn,150,0.999307210285061,0.9990864471274676,0.11249352713107584,0.0035619579697475762,1.3283244720718386,26.671875
